Mixture,Mature Eosinophil,Mature Neutrophil,Non-classical Monocyte,Classical Monocyte,B cell memory,Immature Neutrophil,T cell CD4 naive,Progenitor Leukocyte,T cell regulatory,NK cell,Plasma cell,T cell CD8 naive,T cell CD8 memory,T cell CD4 memory,B cell naive,P-value,Correlation,RMSE
9088,0.130490243294578,0.353442292421437,0.0506589078727357,0.229255353186322,0.02197728230892,0,0,0,0,0,0.147844291669353,0.0536032411631279,0.0063716132606091,0.00635677482291758,0,0.001,0.486162652020988,0.911793848066711
9089,0.0851595938250705,0.427873710468772,0.0777524461405254,0.379672910877767,0,0.00216416535223225,0,0,0,0,0,0.0221612135571119,0,0.00521595977852081,0,0.001,0.281861447365116,1.14964288254739
9091,0.0661616757932112,0.535258760488427,0.100163753512152,0.266381339864346,0,0,0,0,0.00465286265361435,0,0.0118878013766275,0.0154938063116221,0,0,0,0.001,0.367887688943801,1.11953735566465
9092,0.0777583393322177,0.592838177238194,0.0906377506860604,0.161681780242116,0,0,0,0,0.00435099799971151,0,0.0321598469176454,0.0280334427700093,0,0,0.0125396648140456,0.001,0.358819090663121,1.13836886176218
9093,0.0994304956958214,0.434217561788271,0.0888738948909283,0.30934849429753,0,0,0,0,0,0,0.00486136908570415,0.0632681842417454,0,0,0,0,0.591461048837822,0.858001256673742
9094,0.258249882795967,0.323038675240374,0.0524649390024314,0.216914974729176,0.0810419767612413,0,0,0,0,0,0,0.0619665549576797,0,0.00319524345884572,0.00312775305428442,0,0.528690099885433,0.865850604310984
9095,0.0891012212498991,0.416290353138092,0.132839083420959,0.333972974867918,0,0,0,0,0,0,0.0154005316532773,0.0123958356698554,0,0,0,0,0.491067796568216,0.954856999634088
9096,0.116472666272885,0.458658813879912,0.0999325560123761,0.23306279586871,0,0,0,0,0,0,0.0294606040726427,0.0624125638934745,0,0,0,0,0.520782793624006,0.923961437483057
9097,0.0942478521851817,0.389235209179659,0.0922455957113008,0.250417552083058,0,0,0,0,0,0.0170367141880149,0.102491138801682,0.05281403710114,0,0,0.00151190074996415,0,0.571883592707325,0.851834122639655
9098,0.11418975440123,0.329943426456977,0.092195099856859,0.285479767309849,0,0,0,0,0,0,0.127417957337768,0.0440510137439979,0,0.00672298089331987,0,0,0.533150818559115,0.873797879029289
9099,0.172296958489617,0.311695350259572,0.110450311404302,0.312671598327971,0.000245586662713148,0,0,0,0,0,0.0186500612574747,0.067091095546888,0,0.00689903805146342,0,0,0.590543693596195,0.82138796115691
9100,0.131908018204238,0.347797238837107,0.0710706998765315,0.214562910627896,0,0,0,0,0,0,0.167657127763506,0.0670040046907223,0,0,0,0.001,0.4723368959347,0.920550592242841
9101,0.08268088754483,0.473631839154932,0.160856650567422,0.269074758297368,0,0,0,0,0,0,0.00237366030942083,0.00687792397083127,0,0,0.0045042801551966,0.001,0.350001667387844,1.09736402639018
9102,0.125568029690583,0.47485689218316,0.0872017845481057,0.232368782991304,0,0,0,0,0,0.00485267490806489,0.02692314083149,0.048228694847292,0,0,0,0,0.524131332055497,0.928440528331163
9103,0.198957903283302,0.343393227859954,0.103894329850487,0.196814111187764,0.00137133801443441,0,0,0,0,0,0.0140816725031198,0.13309329892242,0,0.00839411837851917,0,0,0.49030269227531,0.899433647728232
9104,0.193266331552532,0.228225302366927,0.105938191563986,0.236886386187315,0,0,0,0,0,0,0.146956078702939,0.0660042487964756,0,0.022723460829826,0,0.001,0.418367545660916,0.929377998949326
9105,0.0913069002060845,0.274872968751325,0.1722646149791,0.309298345506014,0.057183976033862,0,0,0,0.012652198785225,0,0,0.0824209957383894,0,0,0,0.001,0.277229318677999,1.04782629839394
9106,0.129912318465946,0.515104773430716,0.0548878257686295,0.219725162266697,0,0,0,0,0,0,0.0359312807235686,0.0393378922043992,0,0.00510074714004351,0,0,0.667126454240604,0.793415060967566
9107,0.223700524450228,0.280631982763676,0.0461914686092766,0.344537238920023,0.00918064540417707,0,0,0,0,0,0,0.0741705307861567,0,0.0215876090664625,0,0.011,0.120854961894765,1.15320955517455
9108,0.150228246165898,0.342367694984014,0.0645803906521493,0.281875696706343,0,0,0,0,0,0,0.0827352783827449,0.0497101101147799,0,0.0285025829940707,0,0.001,0.417808696822686,0.967824695098343
9109,0.130725897747077,0.243226784677381,0.0928122172187966,0.308874121886477,0,0,0,0,0,0,0.0977036383540522,0.0889776552692575,0,0.0376796848469599,0,0,0.538266276290811,0.851759190521408
9110,0.128559860365043,0.395796508890167,0.0865350719931516,0.27230835485546,0,0,0,0,0,0,0.0815785552068799,0.0264308159857078,0,0.00879083270359082,0,0.001,0.448230556651507,0.966748388948095
9112,0.195486363453997,0.261718450641366,0.104144097650485,0.307279684705633,0.0128738811305515,0,0,0,0,0,0.0318383183028429,0.0866592041151245,0,0,0,0.001,0.419150582064401,0.94316367535098
9113,0.144290872339769,0.33465927025694,0.166826201419617,0.253033430673065,0.00228882783787299,0,0,0,0,0.0118391827277389,0.0246376322395783,0.0624245825054188,0,0,0,0.001,0.407652965590764,0.970901350306388
9114,0.277803160951414,0.174854872579822,0.156891152573257,0.165339122946219,0.0449155866022285,0,0,0,0,0.0150180883815013,0.00767038054485628,0.153620998720849,0,0,0.00388663669985355,0.001,0.305071960315638,0.977248742694686
9116,0.135304112311509,0.483145293028137,0.101060245903126,0.255768146311342,0,0,0,0,0,0,0,0.0221593547311837,0,0.00256284771470212,0,0.001,0.424821815341125,1.03153309575071
9117,0.0785088694397731,0.592939190470001,0.134024093990571,0.152224794672155,0,0,0,0,0,0,0.00548958423731638,0.0113665148237172,0,0,0.0254469523664669,0.001,0.279407392553998,1.20764790918489
9118,0.159406844941493,0.39649770403117,0.0307116565779584,0.262031961960179,0,0,0,0,0,0,0.0709831708641758,0.071445253079064,0,0.00892340854596075,0,0,0.596551576477782,0.829812433225584
9119,0.155342583369207,0.354308717409912,0.0971291003993544,0.224508567853005,0.039092523651937,0,0,0,0,0.00162316146845099,0.0496080948196271,0.0588613911158558,0.0101863562888207,0,0.00933950362383098,0,0.517572435707559,0.88432704212319
9120,0.158342682657152,0.433101692552348,0.0721755195188753,0.176128942538099,0.0428350927513244,0,0,0,0,0,0.0564967793012869,0.0609192906809143,0,0,0,0.001,0.481922617437194,0.93553007167806
