Mixture,Mature Eosinophil,Mature Neutrophil,Non-classical Monocyte,Classical Monocyte,B cell memory,Immature Neutrophil,T cell CD4 naive,Progenitor Leukocyte,T cell regulatory,NK cell,Plasma cell,T cell CD8 naive,T cell CD8 memory,T cell CD4 memory,B cell naive,P-value,Correlation,RMSE
9121,0.154018341295162,0.341221463817036,0.0732249280478,0.295179937762783,0,0,0,0,0,0,0.0466108991991542,0.0897444298780641,0,0,0,0,0.618325080406548,0.799443767629159
9122,0.239742045051371,0.230599950104251,0.117029502195905,0.242333201877918,0.00429417189786173,0,0,0,0,0,0,0.104343881214729,0,0.0205770121762592,0.0410802354817057,0.001,0.29456330509623,1.00606868373289
9123,0.281661362398987,0.221825771269918,0.0468483048758273,0.222273312789278,0.0631017004533238,0,0.00697725419062362,0,0,0,0,0.107577013328453,0.00681861052436185,0.0333295253974374,0.0095871447717895,0.001,0.368497908671182,0.955040940766095
9124,0.243242668599072,0.272910020212589,0.0572121779667943,0.225189652294752,0.0405005691464279,0,0,0,0,0,0,0.0716825851093502,0,0.0466177913801409,0.042644535290874,0.002,0.248747118537649,1.04502409798735
9125,0.276123434768409,0.206220620706873,0.106186960046808,0.136591622915951,0.0511847302890979,0,0,0,0,0,0,0.109394374983543,0,0.0587839265103237,0.0555143297789947,0.001,0.262795859631723,1.00408843963374
9126,0.278188379961795,0.194546585133451,0.122711217609584,0.198849274392266,0,0,0,0,0,0,0,0.123645500195307,0,0.0288751967077673,0.0531838459998299,0.001,0.324032177145656,0.974067622624615
9127,0.247186547747779,0.284613452394557,0.141676075383533,0.189125046988142,0,0,0,0,0,0,0,0.0719580590073852,0,0.0306444290781401,0.0347963894004639,0.001,0.349068469945458,0.983105576492919
9128,0.283746243087393,0.230664755397655,0.115967961994544,0.178006350268623,0.0185491033751368,0,0,0,0,0,0,0.116830789984243,0,0.0110441184660865,0.04519067742632,0.001,0.323783174318543,0.980762084181606
9129,0.227876133931122,0.215330081129888,0.137397454334252,0.209955713282487,0.0477081768186956,0,0,0,0,0,0.00436882985566932,0.0959447250355925,0.0161615769247547,0.0235436247731056,0.0217136839144333,0.001,0.331138209925657,0.975669887021009
9130,0.26785755241507,0.219271451570826,0.0581531492460803,0.19547917260819,0.0544116121073376,0,0,0,0,0,0,0.104063631910946,0,0.0167609080432518,0.0840025220982984,0.001,0.289654301627828,0.998631204585199
9131,0.199141715722605,0.236882699111459,0.0928697748896469,0.181008671733738,0.0584588396680762,0,0,0,0,0,0,0.189561356688935,0.0208146092233893,0.0212623329621499,0,0.001,0.288028608134462,1.00170736816732
