color	gene_n
darkorange	KNL1
darkorange	KPNA2
darkorange	LMAN1
darkorange	MANEA
darkorange	MANF
darkorange	MORF4L2
darkorange	MRPL51
darkorange	MTDH
darkorange	MYBL2
darkorange	MYDGF
darkorange	MZB1
darkorange	NCAPG
darkorange	NDUFAB1
darkorange	NDUFB4
darkorange	NT5DC2
darkorange	OSTC
darkorange	PCNA
darkorange	PDIA4
darkorange	PDIA6
darkorange	PPIB
darkorange	PRDX4
darkorange	RAN
darkorange	RRM2
darkorange	SDF2L1
darkorange	SEC11C
darkorange	SEC61B
darkorange	SEC61G
darkorange	SHCBP1
darkorange	SRPRB
darkorange	SSR1
darkorange	SSR3
darkorange	SSR4
darkorange	STMN1
darkorange	TMED10
darkorange	TMED2
darkorange	TMEM230
darkorange	TNFRSF17
darkorange	TOP2A
darkorange	TRAM1
darkorange	TUBA1B
darkorange	TYMS
darkorange	UAP1
darkorange	UQCRFS1
darkorange	XBP1
darkorange	ZWINT
white	HLA-DMA
white	HLA-DMB
white	HLA-DPA1
white	HLA-DPB1
white	HLA-DRA
white	HLA-DRB1
white	HVCN1
white	EIF3F
white	EIF3L
white	EIF4B
white	IMPDH2
white	RACK1
white	ANKRD44
white	PPTC7
white	FTX
white	POU5F2
white	SCARNA21
white	SCARNA5
white	SCARNA6
white	AC007877.1
white	SLC8A1
white	ATXN2
white	TNRC6B
white	AC007728.3
white	NOD2
white	KDM1B
white	SPG11
white	CIITA
white	DEPDC5
white	VAV2
white	CBX7
white	DPEP2
white	AAK1
white	SYNRG
white	CREM
white	FRMD4B
white	ZNF250
white	MYL6
white	UBL5
white	ARHGEF3
white	GIMAP6
white	CDK16
white	KDM5C
white	BCORP1
white	DDX3Y
white	KDM5D
white	PRKY
white	TXLNGY
white	USP9Y
white	UTY
white	ZFY
white	AC009948.2
white	AC009948.4
white	TTN-AS1
darkgrey	ABCA7
darkgrey	ABCC3
darkgrey	ABHD4
darkgrey	ABLIM3
darkgrey	ACRBP
darkgrey	ALOX12
darkgrey	ANKRD55
darkgrey	ANO6
darkgrey	AP003068.2
darkgrey	AQP10
darkgrey	ARHGAP6
darkgrey	ASAP2
darkgrey	BEX3
darkgrey	BMP6
darkgrey	C12orf76
darkgrey	C1orf198
darkgrey	C9orf16
darkgrey	CAPNS1
darkgrey	CAVIN2
darkgrey	CD151
darkgrey	CDKN1A
darkgrey	CERS2
darkgrey	CLEC1B
darkgrey	CLU
darkgrey	CMTM5
darkgrey	CRAT
darkgrey	CSF1
darkgrey	CTDSPL
darkgrey	CTTN
darkgrey	DAB2
darkgrey	E2F1
darkgrey	EGF
darkgrey	EHD3
darkgrey	ELOVL7
darkgrey	EPAS1
darkgrey	ESAM
darkgrey	ESPN
darkgrey	F13A1
darkgrey	FHL1
darkgrey	FHL3
darkgrey	FSTL1
darkgrey	GAS2L1
darkgrey	GFI1B
darkgrey	GNAZ
darkgrey	GNG11
darkgrey	GP6
darkgrey	GP9
darkgrey	GPR137
darkgrey	GRAP2
darkgrey	GUCY1B1
darkgrey	IGHV2-26
darkgrey	ILK
darkgrey	ITGA2B
darkgrey	ITGB3
darkgrey	ITGB5
darkgrey	JAM3
darkgrey	LANCL3
darkgrey	LIMS1
darkgrey	LTBP1
darkgrey	MAP1A
darkgrey	MEIS1
darkgrey	MGLL
darkgrey	MITF
darkgrey	MMD
darkgrey	MMRN1
darkgrey	MPIG6B
darkgrey	MYL9
darkgrey	MYLK
darkgrey	NCK2
darkgrey	NDRG1
darkgrey	NLRP3
darkgrey	NT5M
darkgrey	ORAI1
darkgrey	P2RY12
darkgrey	PARD3
darkgrey	PCSK6
darkgrey	PCYT1B
darkgrey	PDE5A
darkgrey	PDGFA
darkgrey	PDLIM1
darkgrey	PEAR1
darkgrey	PF4
darkgrey	PGRMC1
darkgrey	PNMA1
darkgrey	PPDPF
darkgrey	PPP1R11
darkgrey	PRKAR1B
darkgrey	PRKAR2B
darkgrey	PRUNE1
darkgrey	PTCRA
darkgrey	PTGIR
darkgrey	PTGS1
darkgrey	PTMS
darkgrey	RAB27B
darkgrey	RAB6B
darkgrey	RFNG
darkgrey	RHOBTB1
darkgrey	RUFY1
darkgrey	SELP
darkgrey	SH3BGRL2
darkgrey	SH3TC2
darkgrey	SLC26A6
darkgrey	SLC38A5
darkgrey	SMIM3
darkgrey	SMPD1
darkgrey	SNN
darkgrey	SPARC
darkgrey	SPOCD1
darkgrey	STON2
darkgrey	SYTL4
darkgrey	TFPI
darkgrey	THBS1
darkgrey	TMEM40
darkgrey	TPM4
darkgrey	TREML1
darkgrey	TSC22D1
darkgrey	TSPAN33
darkgrey	TSPAN9
darkgrey	TTC7B
darkgrey	TUBA4A
darkgrey	TUBB1
darkgrey	VCL
darkgrey	VIL1
darkgrey	VWCE
darkgrey	VWF
darkgrey	YWHAH
darkgrey	ZNF185
white	ETF1
white	YPEL5
white	AL731559.1
white	CAMK1D
white	IGHV1-46
white	IGHV4-59
white	IGLV7-46
white	BANK1
white	MS4A1
white	GSTK1
white	SLC25A28
white	AC016831.4
white	LINC-PINT
gold	ABCA6
gold	ABCA9
gold	ABCB4
gold	AC005332.2
gold	AC006364.1
gold	AC020951.1
gold	AC025569.1
gold	ACTA2-AS1
gold	ADAM28
gold	ADAMTS6
gold	ADTRP
gold	AFF3
gold	AGPAT5
gold	AL050309.1
gold	AL589693.1
gold	AL592429.1
gold	AL592429.2
gold	ARHGAP44
gold	BACE2
gold	BCAS4
gold	BCL11A
gold	BCL2
gold	BEND4
gold	BICD1
gold	BLK
gold	BLNK
gold	BTBD6P1
gold	BTLA
gold	BX284613.2
gold	BX571818.1
gold	C11orf80
gold	C1orf220
gold	CARMIL1
gold	CCDC141
gold	CCDC144NL-AS1
gold	CCDC18-AS1
gold	CCDC191
gold	CCDC88A
gold	CCR7
gold	CD19
gold	CD200
gold	CD22
gold	CD72
gold	CDK14
gold	CELSR1
gold	CLEC17A
gold	CLECL1
gold	CLNK
gold	CNR2
gold	CNTNAP1
gold	COBLL1
gold	COCH
gold	COL19A1
gold	COL4A3
gold	COL4A4
gold	CTLA4
gold	CTPS2
gold	CXCR5
gold	CXXC5
gold	CYP4F29P
gold	DCLK2
gold	DUSP2
gold	E2F5
gold	EFCAB13
gold	FAM3C
gold	FARP2
gold	FCER2
gold	FCMR
gold	FCRL1
gold	FCRL2
gold	FCRL3
gold	FCRL5
gold	FCRLA
gold	FILIP1L
gold	FMOD
gold	FZD3
gold	GDF7
gold	GGA2
gold	GLO1
gold	GOLGA2P5
gold	GPM6A
gold	GPT2
gold	GRIK3
gold	HDAC9
gold	HLA-DOA
gold	HLA-DOB
gold	HLA-DQA1
gold	IFNLR1
gold	IFT57
gold	IGFBP4
gold	IGLL5
gold	IKZF3
gold	IL2RA
gold	IMMP2L
gold	INPP5F
gold	JADE3
gold	KBTBD8
gold	KCNN4
gold	KLF8
gold	KNTC1
gold	KSR2
gold	LILRA4
gold	LINC00494
gold	LINC00926
gold	LINC02397
gold	MAP3K9
gold	MCOLN2
gold	METTL3
gold	METTL8
gold	MIR600HG
gold	MRNIP
gold	MYO1E
gold	NAPSB
gold	NFX1
gold	NIBAN3
gold	OSBPL10
gold	PARP15
gold	PAWR
gold	PAX5
gold	PKIG
gold	PLEKHG1
gold	POF1B
gold	PPP1R16B
gold	PRAG1
gold	PSD3
gold	QSOX2
gold	RAB30
gold	RABEP2
gold	RAD51-AS1
gold	RALGPS2
gold	RAPGEF3
gold	RASA1
gold	RASGRF1
gold	RASGRP3
gold	ROR1
gold	RRAS2
gold	SCRN1
gold	SDK2
gold	SETBP1
gold	SFMBT1
gold	SGPP1
gold	SGSM1
gold	SLAMF6
gold	SLC9A7
gold	SLCO4A1
gold	SNED1
gold	SNX9
gold	SPIB
gold	ST6GAL1
gold	STAMBPL1
gold	STRBP
gold	SUN1
gold	TCF4
gold	TCL1A
gold	TSBP1-AS1
gold	TTN
gold	WDR11
gold	WEE1
gold	ZBTB20
gold	ZBTB24
gold	ZBTB32
gold	ZC3H12D
gold	ZDHHC21
gold	ZDHHC23
gold	ZNF251
gold	ZNF275
gold	ZNF318
gold	ZNF382
gold	ZNF737
gold	ZNF831
gold	ZNF860
white	AC092279.2
white	AC092279.3
white	RNF144A
white	SERINC5
white	AC007384.1
white	IGLV1-47
white	ACTBP8
white	AL139042.1
white	CNR1
white	ARHGAP24
white	GAB1
steelblue	A2M-AS1
steelblue	AARS2
steelblue	AATBC
steelblue	ABCB1
steelblue	ABCB8
steelblue	ABCC1
steelblue	ABCC10
steelblue	ABCD4
steelblue	ABCF1
steelblue	ABI3
steelblue	ABL1
steelblue	ABLIM1
steelblue	AC004847.1
steelblue	AC005670.3
steelblue	AC015911.3
steelblue	AC015911.8
steelblue	AC022966.1
steelblue	AC027097.2
steelblue	AC055811.4
steelblue	AC090948.1
steelblue	AC091230.1
steelblue	AC092329.4
steelblue	AC108925.1
steelblue	AC118344.4
steelblue	AC119396.1
steelblue	AC131212.3
steelblue	ACACB
steelblue	ACAD9
steelblue	ACO2
steelblue	ACSF3
steelblue	ACSS1
steelblue	ADAMTS10
steelblue	ADCY9
steelblue	ADGRG1
steelblue	ADGRG5
steelblue	ADRB2
steelblue	AFG3L1P
steelblue	AGAP1
steelblue	AGAP3
steelblue	AGFG2
steelblue	AGPAT3
steelblue	AHDC1
steelblue	AK5
steelblue	AKAP1
steelblue	AL121839.2
steelblue	AL162586.1
steelblue	AL359220.1
steelblue	AL359962.1
steelblue	AL359962.2
steelblue	ALS2CL
steelblue	AMER1
steelblue	AMIGO1
steelblue	ANAPC5
steelblue	ANGEL1
steelblue	ANKMY1
steelblue	ANO9
steelblue	ANTXRLP1
steelblue	ANXA6
steelblue	AP1B1
steelblue	AP3M2
steelblue	APBA2
steelblue	APBB1
steelblue	APOBEC3C
steelblue	APOBEC3F
steelblue	APOL3
steelblue	ARFGAP2
steelblue	ARFRP1
steelblue	ARHGAP35
steelblue	ARHGEF10L
steelblue	ARHGEF9
steelblue	ARID1B
steelblue	ARL10
steelblue	ARL4C
steelblue	ASPSCR1
steelblue	ASXL1
steelblue	ATG16L1
steelblue	ATP10A
steelblue	ATP13A1
steelblue	ATP13A2
steelblue	ATP1A1
steelblue	ATP8B2
steelblue	AUTS2
steelblue	B3GAT3
steelblue	BACE1-AS
steelblue	BACH2
steelblue	BAHD1
steelblue	BCL11B
steelblue	BCL9L
steelblue	BCOR
steelblue	BCR
steelblue	BDH1
steelblue	BICDL1
steelblue	BIN1
steelblue	BNIP3
steelblue	BRD1
steelblue	BRD9
steelblue	BRF1
steelblue	BTBD11
steelblue	BTBD2
steelblue	BTG1P1
steelblue	C12orf42
steelblue	C12orf65
steelblue	C13orf46
steelblue	C16orf58
steelblue	C19orf54
steelblue	C1orf21
steelblue	C21orf59-TCP10L
steelblue	C2CD2L
steelblue	C8orf33
steelblue	CABIN1
steelblue	CACNA1I
steelblue	CACTIN
steelblue	CAD
steelblue	CAPN10
steelblue	CAPN15
steelblue	CARD11
steelblue	CARMIL2
steelblue	CBFA2T2
steelblue	CCAR2
steelblue	CCDC88C
steelblue	CCR5
steelblue	CD2
steelblue	CD247
steelblue	CD4
steelblue	CD40LG
steelblue	CD5
steelblue	CD6
steelblue	CD7
steelblue	CD74
steelblue	CD81
steelblue	CD8A
steelblue	CD8B
steelblue	CDAN1
steelblue	CDC14A
steelblue	CDC25B
steelblue	CDHR3
steelblue	CDK10
steelblue	CDK5RAP1
steelblue	CEP164
steelblue	CEP250
steelblue	CHD3
steelblue	CHD6
steelblue	CHMP7
steelblue	CHST12
steelblue	CIAO3
steelblue	CIZ1
steelblue	CLCN7
steelblue	CLEC16A
steelblue	CLSTN1
steelblue	CLUH
steelblue	CMKLR1
steelblue	CNNM2
steelblue	CNTROB
steelblue	COG1
steelblue	COL6A2
steelblue	COQ6
steelblue	CORO1B
steelblue	CPSF1
steelblue	CPSF4
steelblue	CRAMP1
steelblue	CROCC
steelblue	CROCCP3
steelblue	CRTC1
steelblue	CRY2
steelblue	CSF1R
steelblue	CTBP1-DT
steelblue	CTC1
steelblue	CTIF
steelblue	CTSW
steelblue	CUL7
steelblue	CX3CR1
steelblue	CXXC1
steelblue	CYFIP2
steelblue	D2HGDH
steelblue	DAZAP1
steelblue	DBP
steelblue	DCAF1
steelblue	DCAF7
steelblue	DCHS1
steelblue	DDX24
steelblue	DDX27
steelblue	DDX31
steelblue	DDX51
steelblue	DDX55
steelblue	DDX56
steelblue	DENND11
steelblue	DENND2D
steelblue	DFFA
steelblue	DGCR8
steelblue	DGKA
steelblue	DHRS3
steelblue	DHX30
steelblue	DHX37
steelblue	DIP2C
steelblue	DIS3L2
steelblue	DLG4
steelblue	DLG5
steelblue	DMAP1
steelblue	DNAH1
steelblue	DNAJA3
steelblue	DNAJC11
steelblue	DNAJC17
steelblue	DNHD1
steelblue	DNMT1
steelblue	DNPEP
steelblue	DOCK9
steelblue	DOK2
steelblue	DPH7
steelblue	DPP7
steelblue	DPYSL2
steelblue	DRG2
steelblue	DROSHA
steelblue	DUS1L
steelblue	DUSP7
steelblue	DYNC1H1
steelblue	EARS2
steelblue	ECHDC2
steelblue	EHMT1
steelblue	EHMT2
steelblue	EIF2B5
steelblue	ELAC2
steelblue	EMC1
steelblue	ENGASE
steelblue	ENOSF1
steelblue	ENTPD6
steelblue	EOMES
steelblue	EP400
steelblue	EPHA4
steelblue	EPHX2
steelblue	ERBB2
steelblue	ERCC3
steelblue	ERI3
steelblue	ESYT1
steelblue	ESYT2
steelblue	ETS1
steelblue	EVL
steelblue	EXOSC10
steelblue	EXOSC7
steelblue	FAM102A
steelblue	FAM120C
steelblue	FAM153A
steelblue	FAM160B2
steelblue	FAM78A
steelblue	FARS2
steelblue	FASN
steelblue	FBXO31
steelblue	FBXO41
steelblue	FBXW4
steelblue	FBXW8
steelblue	FCGBP
steelblue	FCRL6
steelblue	FGD2
steelblue	FGFBP2
steelblue	FITM2
steelblue	FMNL3
steelblue	FOXK1
steelblue	FPGS
steelblue	FTO
steelblue	FUBP3
steelblue	FYCO1
steelblue	FYN
steelblue	GABPB2
steelblue	GALT
steelblue	GCDH
steelblue	GCN1
steelblue	GDF11
steelblue	GEMIN5
steelblue	GGT7
steelblue	GIMAP5
steelblue	GIT1
steelblue	GLG1
steelblue	GOLGA3
steelblue	GOLGA7B
steelblue	GOSR2
steelblue	GPATCH8
steelblue	GPRASP1
steelblue	GRAP
steelblue	GSDMB
steelblue	GSE1
steelblue	GTF3C2
steelblue	GUSBP1
steelblue	GZMM
steelblue	HABP4
steelblue	HADH
steelblue	HAPLN3
steelblue	HAUS5
steelblue	HCFC1
steelblue	HECTD3
steelblue	HEG1
steelblue	HEMK1
steelblue	HINFP
steelblue	HIP1R
steelblue	HIVEP3
steelblue	HTT
steelblue	HUWE1
steelblue	IFFO1
steelblue	IFFO2
steelblue	IFT172
steelblue	IGSF8
steelblue	IGSF9B
steelblue	IKBKB
steelblue	IKBKE
steelblue	IL10RA
steelblue	IL11RA
steelblue	IL18BP
steelblue	IL21R
steelblue	IL2RB
steelblue	IL7R
steelblue	ILF3
steelblue	INF2
steelblue	ING5
steelblue	INO80
steelblue	INO80E
steelblue	INPP5B
steelblue	INTS11
steelblue	IPO9
steelblue	IQSEC2
steelblue	IRF3
steelblue	ITFG2
steelblue	ITGB7
steelblue	ITK
steelblue	ITPKB
steelblue	ITPR1
steelblue	ITPR3
steelblue	IVD
steelblue	JADE2
steelblue	JMJD7-PLA2G4B
steelblue	KAT2A
steelblue	KAT6B
steelblue	KCTD7
steelblue	KDM2B
steelblue	KIAA1671
steelblue	KIF22
steelblue	KIF5C
steelblue	KIFC2
steelblue	KLHDC4
steelblue	KLHL3
steelblue	KLHL36
steelblue	KLRD1
steelblue	KLRG1
steelblue	KMT2A
steelblue	KNOP1
steelblue	KRI1
steelblue	KRT17P8
steelblue	L3MBTL1
steelblue	L3MBTL2
steelblue	LARS2
steelblue	LAS1L
steelblue	LBH
steelblue	LCK
steelblue	LDLRAP1
steelblue	LEF1
steelblue	LEF1-AS1
steelblue	LETM1
steelblue	LETMD1
steelblue	LIG3
steelblue	LILRB1
steelblue	LINC00299
steelblue	LINC00402
steelblue	LINC00426
steelblue	LINC00649
steelblue	LINC00861
steelblue	LINC00894
steelblue	LINC00954
steelblue	LINC01089
steelblue	LINC01238
steelblue	LINC01278
steelblue	LINC01550
steelblue	LINC01934
steelblue	LINC02210
steelblue	LINC02325
steelblue	LLGL1
steelblue	LLGL2
steelblue	LMF1
steelblue	LONP1
steelblue	LPIN1
steelblue	LRIG1
steelblue	LRIG2
steelblue	LRP1
steelblue	LSS
steelblue	LTBP3
steelblue	LTBP4
steelblue	LUC7L
steelblue	LY9
steelblue	LZTR1
steelblue	LZTS2
steelblue	MADD
steelblue	MAL
steelblue	MAN1C1
steelblue	MAN2C1
steelblue	MAP3K14
steelblue	MAP4
steelblue	MAP4K1
steelblue	MAPKAPK5
steelblue	MAPKBP1
steelblue	MATK
steelblue	MCCC2
steelblue	MCF2L2
steelblue	MCM3AP
steelblue	MDN1
steelblue	MED24
steelblue	MEN1
steelblue	MESD
steelblue	METTL16
steelblue	METTL17
steelblue	MFSD12
steelblue	MGMT
steelblue	MICAL3
steelblue	MMS19
steelblue	MOGS
steelblue	MORC2
steelblue	MPI
steelblue	MPRIP
steelblue	MPV17
steelblue	MROH1
steelblue	MSI2
steelblue	MTA1
steelblue	MTA3
steelblue	MTERF4
steelblue	MTG1
steelblue	MTHFR
steelblue	MTOR
steelblue	MTR
steelblue	MYBBP1A
steelblue	MYO19
steelblue	MYO1G
steelblue	NAGA
steelblue	NAGPA
steelblue	NAT10
steelblue	NBPF15
steelblue	NCALD
steelblue	NCAPD3
steelblue	NCOR2
steelblue	NDUFA9
steelblue	NDUFV1
steelblue	NELFCD
steelblue	NELL2
steelblue	NEURL4
steelblue	NF2
steelblue	NFATC1
steelblue	NFATC2
steelblue	NFATC2IP
steelblue	NID1
steelblue	NIPAL3
steelblue	NISCH
steelblue	NKAPP1
steelblue	NKG7
steelblue	NLE1
steelblue	NLRC3
steelblue	NMT2
steelblue	NMUR1
steelblue	NOC2L
steelblue	NOL6
steelblue	NOL9
steelblue	NOM1
steelblue	NOP14
steelblue	NOP53
steelblue	NOP56
steelblue	NOP9
steelblue	NR3C2
steelblue	NRROS
steelblue	NUDCD3
steelblue	NUMA1
steelblue	NUP188
steelblue	NUP210
steelblue	NUP62
steelblue	NUP93
steelblue	OBSCN
steelblue	ODF2
steelblue	OGG1
steelblue	OPA3
steelblue	OSBPL3
steelblue	OSBPL7
steelblue	OXNAD1
steelblue	P4HTM
steelblue	PACS2
steelblue	PAFAH2
steelblue	PAN2
steelblue	PAQR8
steelblue	PASK
steelblue	PATZ1
steelblue	PCAT1
steelblue	PCED1A
steelblue	PCED1B
steelblue	PCED1B-AS1
steelblue	PCNX2
steelblue	PCSK7
steelblue	PCYOX1L
steelblue	PDCD11
steelblue	PDCD7
steelblue	PDE4A
steelblue	PDGFRB
steelblue	PELP1
steelblue	PEX26
steelblue	PFAS
steelblue	PFKL
steelblue	PHACTR4
steelblue	PHF19
steelblue	PI4KA
steelblue	PIEZO1
steelblue	PIGL
steelblue	PIGO
steelblue	PIK3C2B
steelblue	PIK3IP1
steelblue	PIP4K2B
steelblue	PITPNC1
steelblue	PKD1
steelblue	PLA2G6
steelblue	PLBD2
steelblue	PLCG1
steelblue	PLCH2
steelblue	PLEKHF1
steelblue	PLEKHG2
steelblue	PLOD3
steelblue	PLXDC1
steelblue	PLXNA1
steelblue	PLXNA3
steelblue	PLXNB2
steelblue	PLXND1
steelblue	PMM2
steelblue	PNMA3
steelblue	POLE
steelblue	POLG
steelblue	POLR1A
steelblue	POLR3A
steelblue	POLR3D
steelblue	POLR3E
steelblue	POLR3H
steelblue	POLRMT
steelblue	POMGNT1
steelblue	POU2F2
steelblue	PPARD
steelblue	PPIE
steelblue	PPIEL
steelblue	PPIL2
steelblue	PPP2R2B
steelblue	PRDM11
steelblue	PRF1
steelblue	PRKCA
steelblue	PRKCH
steelblue	PRKCQ
steelblue	PRMT7
steelblue	PRPF19
steelblue	PRPF8
steelblue	PRRC2B
steelblue	PRSS23
steelblue	PSMG4
steelblue	PTCH1
steelblue	PTGDR
steelblue	PTGES2
steelblue	PUS1
steelblue	PVT1
steelblue	PWWP3A
steelblue	QRICH1
steelblue	RAB11FIP3
steelblue	RABL6
steelblue	RAD51D
steelblue	RAD52
steelblue	RAD54L2
steelblue	RAI1
steelblue	RANGAP1
steelblue	RARG
steelblue	RASA3
steelblue	RASGRF2
steelblue	RASGRP1
steelblue	RASSF4
steelblue	RBM14
steelblue	RBM19
steelblue	RBM28
steelblue	RCAN3
steelblue	RCC2
steelblue	RECQL5
steelblue	RFTN1
steelblue	RGS12
steelblue	RHOF
steelblue	RHOH
steelblue	RIC3
steelblue	RNF125
steelblue	RNF126
steelblue	RNF157
steelblue	RNF26
steelblue	RNH1
steelblue	RPAP1
steelblue	RPRD2
steelblue	RPTOR
steelblue	RRAS
steelblue	RRP1B
steelblue	RRP7BP
steelblue	RSAD1
steelblue	RTL10
steelblue	RTL6
steelblue	RUNX3
steelblue	S1PR5
steelblue	SAMD3
steelblue	SAMM50
steelblue	SARM1
steelblue	SART3
steelblue	SAT2
steelblue	SBK1
steelblue	SCART1
steelblue	SCRIB
steelblue	SDR39U1
steelblue	SEMA4C
steelblue	SEMA4F
steelblue	SEPTIN1
steelblue	SEPTIN6
steelblue	SEPTIN9
steelblue	SERGEF
steelblue	SETD1A
steelblue	SF3B3
steelblue	SFI1
steelblue	SFMBT2
steelblue	SFXN2
steelblue	SGSM2
steelblue	SH2B1
steelblue	SH2D2A
steelblue	SH3TC1
steelblue	SHISAL2A
steelblue	SIDT1
steelblue	SIDT2
steelblue	SIGIRR
steelblue	SIPA1L3
steelblue	SIRPG
steelblue	SKAP1
steelblue	SLAMF1
steelblue	SLC16A1-AS1
steelblue	SLC16A10
steelblue	SLC25A45
steelblue	SLC27A1
steelblue	SLC2A6
steelblue	SLC35A4
steelblue	SLC37A2
steelblue	SLC38A7
steelblue	SLC41A1
steelblue	SLC4A2
steelblue	SLC7A6
steelblue	SLFN12L
steelblue	SLFN13
steelblue	SMAD3
steelblue	SMARCA4
steelblue	SMG6
steelblue	SMPD4
steelblue	SMYD4
steelblue	SNAPC4
steelblue	SNRNP200
steelblue	SOCS7
steelblue	SP140L
steelblue	SPG7
steelblue	SPN
steelblue	SPOCK2
steelblue	SPON2
steelblue	SPPL2B
steelblue	SPRYD4
steelblue	SPTAN1
steelblue	SRC
steelblue	SREBF2
steelblue	SSBP4
steelblue	SSRP1
steelblue	ST3GAL3
steelblue	ST8SIA1
steelblue	STARD8
steelblue	STARD9
steelblue	STK25
steelblue	STMN3
steelblue	STX18-AS1
steelblue	SUGP2
steelblue	SUMF2
steelblue	SUN2
steelblue	SYMPK
steelblue	SYNGAP1
steelblue	SYTL2
steelblue	TAB1
steelblue	TAF1C
steelblue	TAGLN
steelblue	TAMM41
steelblue	TANGO6
steelblue	TBC1D10A
steelblue	TBC1D9B
steelblue	TBCD
steelblue	TBX21
steelblue	TCF20
steelblue	TCF7
steelblue	TCOF1
steelblue	TENT4A
steelblue	TESK1
steelblue	TESPA1
steelblue	TGFBR3
steelblue	THEM4
steelblue	TIAF1
steelblue	TIGIT
steelblue	TJAP1
steelblue	TMC6
steelblue	TMC8
steelblue	TMCO4
steelblue	TMEM104
steelblue	TMEM116
steelblue	TMEM198B
steelblue	TMEM63A
steelblue	TMEM94
steelblue	TNFRSF25
steelblue	TNRC6A
steelblue	TNRC6C
steelblue	TNRC6C-AS1
steelblue	TNS3
steelblue	TOMM20P2
steelblue	TOP3B
steelblue	TP53
steelblue	TPCN1
steelblue	TRABD2A
steelblue	TRAC
steelblue	TRAP1
steelblue	TRBC1
steelblue	TRBC2
steelblue	TRDC
steelblue	TRGC1
steelblue	TRIB2
steelblue	TRIM26
steelblue	TRIM65
steelblue	TRIT1
steelblue	TRMT1
steelblue	TRMT2A
steelblue	TRMT2B
steelblue	TRMT44
steelblue	TRRAP
steelblue	TSEN54
steelblue	TSHZ1
steelblue	TSPOAP1-AS1
steelblue	TSPYL2
steelblue	TSR1
steelblue	TSR2
steelblue	TTC12
steelblue	TTC31
steelblue	TTC39C
steelblue	TTC7A
steelblue	TTC9
steelblue	TTYH2
steelblue	TTYH3
steelblue	TUBGCP6
steelblue	TULP4
steelblue	TXLNA
steelblue	TYW1
steelblue	UBAP1L
steelblue	UBAP2
steelblue	UBASH3A
steelblue	UBFD1
steelblue	UBIAD1
steelblue	UBXN11
steelblue	UCP2
steelblue	UMPS
steelblue	UNK
steelblue	UQCC1
steelblue	URB1
steelblue	URGCP
steelblue	UROS
steelblue	USP13
steelblue	USP20
steelblue	USP5
steelblue	UXS1
steelblue	VAC14
steelblue	VARS1
steelblue	VDAC2P2
steelblue	VILL
steelblue	VPS52
steelblue	VSIG1
steelblue	WDR27
steelblue	WDR59
steelblue	WDR6
steelblue	WDR60
steelblue	WDR81
steelblue	WIZ
steelblue	WWOX
steelblue	XPO5
steelblue	YLPM1
steelblue	ZAP70
steelblue	ZBTB39
steelblue	ZBTB4
steelblue	ZBTB40
steelblue	ZC3H7B
steelblue	ZDHHC8
steelblue	ZFHX3
steelblue	ZFYVE28
steelblue	ZMIZ2
steelblue	ZMYM3
steelblue	ZNF133
steelblue	ZNF142
steelblue	ZNF202
steelblue	ZNF236
steelblue	ZNF384
steelblue	ZNF385A
steelblue	ZNF512B
steelblue	ZNF526
steelblue	ZNF589
steelblue	ZNF609
steelblue	ZNF76
steelblue	ZNF767P
steelblue	ZNF783
steelblue	ZNF792
steelblue	ZNF827
steelblue	ZNF875
steelblue	ZSCAN25
indianred	AASDH
indianred	AASDHPPT
indianred	ABCA5
indianred	ABCB7
indianred	ABCD2
indianred	ABCD3
indianred	ABCE1
indianred	ABHD10
indianred	ABI2
indianred	ABRAXAS1
indianred	AC005261.1
indianred	AC008124.1
indianred	AC021092.2
indianred	AC027097.1
indianred	AC055748.1
indianred	AC093323.1
indianred	AC106791.1
indianred	AC116158.3
indianred	AC118549.1
indianred	AC138393.1
indianred	AC138409.2
indianred	AC243960.1
indianred	ACADM
indianred	ACADSB
indianred	ACAP2-IT1
indianred	ACBD3
indianred	ACTL6A
indianred	ACTR6
indianred	ACVR2A
indianred	ACVR2B
indianred	ADAT2
indianred	ADH5
indianred	AEBP2
indianred	AF131215.5
indianred	AFG3L2
indianred	AGK
indianred	AGL
indianred	AGPS
indianred	AHI1
indianred	AIMP1
indianred	AKAP11
indianred	AKAP9
indianred	AKT3
indianred	AL365361.1
indianred	AL390728.4
indianred	AL390728.6
indianred	AL662795.2
indianred	ALG10
indianred	ALG10B
indianred	ALG13
indianred	ALG6
indianred	ALKBH3
indianred	ALKBH8
indianred	ALMS1
indianred	ANAPC1
indianred	ANAPC4
indianred	ANGEL2
indianred	ANKAR
indianred	ANKIB1
indianred	ANKRA2
indianred	ANKRD10
indianred	ANKRD10-IT1
indianred	ANKRD12
indianred	ANKRD13C
indianred	ANKRD26
indianred	ANKRD36
indianred	ANKRD36B
indianred	ANKRD36C
indianred	ANKRD46
indianred	ANKRD49
indianred	AOPEP
indianred	AP000866.6
indianred	AP001033.4
indianred	AP001273.1
indianred	AP002495.1
indianred	AP1AR
indianred	AP1S2
indianred	AP5M1
indianred	API5
indianred	APPBP2
indianred	APPL1
indianred	AQR
indianred	ARGLU1
indianred	ARHGAP12
indianred	ARHGAP5
indianred	ARL1
indianred	ARL14EP
indianred	ARL5A
indianred	ARMC1
indianred	ARMC10
indianred	ARPP19
indianred	ASCC3
indianred	ASF1A
indianred	ASTE1
indianred	ATAD1
