color	gene_n
orchid	TBC1D25
orchid	TBCEL
orchid	TBL1XR1
orchid	TCEANC
orchid	TCF3
orchid	TCP11L2
orchid	TENT5C
orchid	TESC
orchid	TFDP1
orchid	TFRC
orchid	TGM2
orchid	TLCD4
orchid	TMCC2
orchid	TMEM63B
orchid	TMOD1
orchid	TNS1
orchid	TPGS2
orchid	TRAK2
orchid	TRIM10
orchid	TRIM58
orchid	TRIP12
orchid	TSPAN5
orchid	TSTA3
orchid	TUBB4B
orchid	UBA52
orchid	UBAC1
orchid	UBAP1
orchid	UBB
orchid	UBE2H
orchid	UBE2M
orchid	UBE2O
orchid	UBQLN1
orchid	UBXN10
orchid	UBXN6
orchid	USP12
orchid	VTI1B
orchid	WASF2
orchid	WDR26
orchid	WDR45
orchid	WNK1
orchid	XK
orchid	XPO7
orchid	YBX1
orchid	YBX3
orchid	YOD1
orchid	YPEL3
orchid	YPEL4
orchid	YY1AP1
orchid	ZDHHC2
orchid	ZER1
orchid	ZFAND4
orchid	ZFYVE1
orchid	ZRANB1
maroon	ABHD13
maroon	ABI1
maroon	AC007336.1
maroon	AC008079.1
maroon	AC012363.2
maroon	AC020703.1
maroon	AC021078.1
maroon	AC064801.2
maroon	AC067945.1
maroon	AC069528.2
maroon	AC079209.1
maroon	AC083862.3
maroon	AC084290.1
maroon	AC093012.1
maroon	AC097376.3
maroon	AC099343.4
maroon	AC099811.1
maroon	AC104837.2
maroon	AC106865.2
maroon	AC112496.1
maroon	AC114778.2
maroon	AC122718.2
maroon	AC124319.3
maroon	ACAP2
maroon	ACBD5
maroon	ACER3
maroon	ACOT9
maroon	ACSL3
maroon	ACSL4
maroon	ACSS3
maroon	ACTR10
maroon	ACTR2
maroon	ACTR3
maroon	ADA2
maroon	ADAM10
maroon	ADAM17
maroon	ADAM9
maroon	ADCY7
maroon	AFTPH
maroon	AGFG1
maroon	AGRN
maroon	AGTPBP1
maroon	AKIRIN1
maroon	AL031123.2
maroon	AL034397.3
maroon	AL121985.1
maroon	AL445524.1
maroon	AL662844.4
maroon	AL672207.1
maroon	ANKFY1
maroon	ANKRD22
maroon	ANTXR2
maroon	ANXA1
maroon	ANXA3
maroon	AP000640.1
maroon	AP000919.4
maroon	AP003086.1
maroon	AP3B1
maroon	AP3S1
maroon	APC
maroon	APOL1
maroon	APOL6
maroon	ARFGAP3
maroon	ARFGEF1
maroon	ARHGAP15
maroon	ARID4A
maroon	ARID4B
maroon	ARL11
maroon	ARL5B
maroon	ARL8B
maroon	ARMT1
maroon	ARPC3
maroon	ARPC5
maroon	ARRDC3
maroon	ASAH1
maroon	ASB7
maroon	ATAD2B
maroon	ATG3
maroon	ATP11B
maroon	ATP5F1C
maroon	ATP5PB
maroon	ATP6V0E1
maroon	ATP6V1C1
maroon	ATP6V1E1
maroon	ATP6V1G1
maroon	AXL
maroon	AZI2
maroon	B2M
maroon	B3GNT2
maroon	B3GNT5
maroon	BACH1
maroon	BATF2
maroon	BAZ1A
maroon	BCL10
maroon	BCL2A1
maroon	BCLAF3
maroon	BISPR
maroon	BLZF1
maroon	BMT2
maroon	BNIP2
maroon	BROX
maroon	BRWD3
maroon	BST2
maroon	BTBD10
maroon	BX539320.1
maroon	C16orf72
maroon	C1GALT1
maroon	C1GALT1C1
maroon	C1orf52
maroon	C21orf91
maroon	C4orf3
maroon	C6orf62
maroon	C9orf72
maroon	CAB39
maroon	CACUL1
maroon	CALM2
maroon	CAPZA1
maroon	CAPZA2
maroon	CARD16
maroon	CARD17
maroon	CASC4
maroon	CASP1
maroon	CASP3
maroon	CASP4
maroon	CASP5
maroon	CC2D2B
maroon	CCDC126
maroon	CCDC186
maroon	CCDC28A
maroon	CCDC71L
maroon	CCNA1
maroon	CCNL1
maroon	CCP110
maroon	CCPG1
maroon	CD164
maroon	CD274
maroon	CD46
maroon	CD58
maroon	CD59
maroon	CDC40
maroon	CDC42
maroon	CDC73
maroon	CDK17
maroon	CEP162
maroon	CERT1
maroon	CGGBP1
maroon	CHD1
maroon	CHIC2
maroon	CHMP2B
maroon	CHMP5
maroon	CHROMR
maroon	CHUK
maroon	CHURC1
maroon	CKLF
maroon	CLEC2B
maroon	CLEC4D
maroon	CLK4
maroon	CMPK2
maroon	CMTM3
maroon	CMTM4
maroon	CMTM6
maroon	CMTR1
maroon	CNBP
maroon	CNEP1R1
maroon	CNOT8
maroon	CNP
maroon	COP1
maroon	COPB1
maroon	COQ10B
maroon	COX7A2
maroon	CPEB2
maroon	CPSF2
maroon	CREBRF
maroon	CRNKL1
maroon	CSNK1A1
maroon	CTBS
maroon	CUL3
maroon	CUL4B
maroon	CUTC
maroon	CXorf21
maroon	CYB5R4
maroon	DAPP1
maroon	DCP2
maroon	DDX10P1
maroon	DDX58
maroon	DDX60
maroon	DDX60L
maroon	DEK
maroon	DENND1B
maroon	DHX58
maroon	DICER1
maroon	DLD
maroon	DNAJA1
maroon	DNAJC13
maroon	DNAJC3
maroon	DOCK4
maroon	DPH3
maroon	DPP8
maroon	DPY19L3
maroon	DPYD
maroon	DR1
maroon	DRAM1
maroon	DRAP1
maroon	DTNBP1
maroon	DTX3L
maroon	DUSP3
maroon	DYNC1LI2
maroon	DYNLT1
maroon	DYRK1A
maroon	EDEM3
maroon	EFCAB2
maroon	EFR3A
maroon	EIF2AK2
maroon	EIF4E3
maroon	ELF1
maroon	ELF2
maroon	EMB
maroon	EPC2
maroon	EPG5
maroon	EPHB2
maroon	EPSTI1
maroon	ERBIN
maroon	ERGIC2
maroon	ERH
maroon	ERI1
maroon	ERLIN1
maroon	ERP44
maroon	ETV7
maroon	EVI2A
maroon	EXOC1
maroon	EXOC6
maroon	EXOC8
maroon	FAM126B
maroon	FAM160B1
maroon	FAM172A
maroon	FAM200B
maroon	FAM217B
maroon	FAM228B
maroon	FAM49B
maroon	FAM8A1
maroon	FAM91A1
maroon	FANCA
maroon	FAR1
maroon	FAS
maroon	FBXL3
maroon	FBXL5
maroon	FBXO11
maroon	FBXO30
maroon	FBXO33
maroon	FBXO38
maroon	FBXO39
maroon	FBXO6
maroon	FCGR1A
maroon	FCGR1B
maroon	FCGR1CP
maroon	FCGR3B
maroon	FEM1C
maroon	FGD4
maroon	FGFR1OP2
maroon	FLVCR2
maroon	FMR1
maroon	FNIP1
maroon	FOXN2
maroon	FYB1
maroon	GALM
maroon	GALNT3
maroon	GALNT7
maroon	GBP1
maroon	GBP2
maroon	GBP3
maroon	GBP5
maroon	GBP6
maroon	GCA
maroon	GCH1
maroon	GCLM
maroon	GGNBP2
maroon	GK
maroon	GMFB
maroon	GNA13
maroon	GNAI3
maroon	GNB4
maroon	GNG5
maroon	GOLGA7
maroon	GOLPH3
maroon	GORASP1
maroon	GPAT3
maroon	GPBP1
maroon	GPCPD1
maroon	GRAMD1B
maroon	GSTO1
maroon	GTF2A1
maroon	GTF2B
maroon	GTPBP2
maroon	H3-3A
maroon	H3-3B
maroon	HACD4
maroon	HBP1
maroon	HCG27
maroon	HEBP2
maroon	HECA
maroon	HELZ2
maroon	HERC5
maroon	HERC6
maroon	HIF1A
maroon	HINT3
maroon	HIPK3
maroon	HLA-H
maroon	HNRNPH2
maroon	HNRNPLL
maroon	HP
maroon	HSBP1
maroon	HSD17B11
maroon	HSDL2
maroon	HSH2D
maroon	HTATIP2
maroon	IDI1
maroon	IFI16
maroon	IFI35
maroon	IFI44
maroon	IFI44L
maroon	IFI6
maroon	IFIH1
maroon	IFIT1
maroon	IFIT2
maroon	IFIT3
maroon	IFIT5
maroon	IFITM3
maroon	IFNGR1
maroon	IL18R1
maroon	IMPA1
maroon	INTS6
maroon	INTS8
maroon	IPMK
maroon	IRF1-AS1
maroon	IRF5
maroon	IRF7
maroon	ISG15
maroon	ISG20
maroon	ITM2B
maroon	ITPRID2
maroon	ITSN2
maroon	JAK2
maroon	JKAMP
maroon	JMJD1C
maroon	KANSL1L
maroon	KBTBD2
maroon	KCNE3
maroon	KCNJ2
maroon	KCNJ2-AS1
maroon	KDM7A
maroon	KIAA0232
maroon	KIAA0319L
maroon	KIAA0825
maroon	KIAA1109
maroon	KIAA1958
